,related_question_output,unrelated_question_output
phone,,4.0
photographer,,1.0
picnic,,1.0
picture,,1.0
pigeon,,1.0
pigeons,,1.0
pine,,1.0
pink,1.0,1.0
pizza,3.0,6.0
plain,,1.0
plane,1.0,1.0
plastic,,2.0
police,,1.0
ponytail,1.0,1.0
rainbow,,1.0
reading,1.0,1.0
real,1.0,
rectangle,1.0,1.0
red,9.0,13.0
red sox,,2.0
refrigerator,1.0,
reins,1.0,
remote,,1.0
restaurant,1.0,1.0
right,1.0,6.0
river,,2.0
road,,2.0
rocks,1.0,
roman,,1.0
roof,,1.0
round,,1.0
safety,,1.0
sailboat,1.0,
samsung,,1.0
sand,1.0,
school,,2.0
seagull,,1.0
shade,1.0,1.0
shadow,1.0,1.0
shirt,,3.0
shoes,1.0,1.0
short,1.0,
shorts,,1.0
sign,,1.0
silver,1.0,
singles,1.0,
sitting,,5.0
skateboard,,1.0
skateboarding,2.0,
skiing,1.0,1.0
skis,,1.0
sky,,2.0
small,3.0,1.0
smile,1.0,
smoke,,1.0
snow,1.0,2.0
snowboarding,1.0,
soccer,,1.0
soccer field,,1.0
solid,,3.0
sony,,1.0
soon,,1.0
spinach,,1.0
spoon,,1.0
spring,,2.0
squares,,1.0
standing,,7.0
standing still,,1.0
stop,,3.0
straight,,1.0
straw,,1.0
suitcase,,1.0
summer,,1.0
sun,,2.0
sunny,4.0,1.0
surfboard,1.0,3.0
surfing,1.0,
sweatband,,1.0
t,,1.0
table,,2.0
take off,,1.0
taking off,,1.0
taking picture,,1.0
taking pictures,,1.0
talking,,1.0
tattoo,,1.0
teddy,,1.0
teddy bear,,1.0
tennis,4.0,
tennis ball,1.0,1.0
tennis racket,2.0,
thick,,1.0
throw,,1.0
tie,,1.0
tile,1.0,2.0
toilet,,1.0
tomato,,1.0
tomatoes,,1.0
toy,,1.0
traffic light,,1.0
train,2.0,2.0
transportation,,1.0
trash,,1.0
trash can,,1.0
traveling,,1.0
tree,,1.0
trees,,2.0
truck,2.0,2.0
umbrella,3.0,
umbrellas,,1.0
unknown,,20.0
up,,2.0
usa,,1.0
vegetables,,2.0
very,,1.0
waiting,,1.0
walking,,2.0
warning,,1.0
washington,,1.0
watching tv,,1.0
water,2.0,4.0
white,19.0,56.0
wii,1.0,
windows,1.0,
winter,2.0,
woman,1.0,2.0
wood,5.0,5.0
working,,2.0
yankees,,1.0
yellow,5.0,3.0
yes,,3.0
zipper,,1.0
